signature,count
VP:Pred,53075
CP:Conj,44027
PP:Cmpl,27597
NP:Subj,19645
NP:Objc,12463
PP:Objc,9877
PP:Adju,8741
PrNP:Subj,8103
CP:Rela,6136
PP:PreC,6046
NegP:Nega,5557
NP:PreC,5447
VP:PreC,5085
VP:PreO,4579
PPrP:Subj,3998
AdvP:Modi,3348
PP:Time,2664
PP:Loca,2183
NP:Cmpl,1628
AdjP:PreC,1484
InjP:Intj,1484
InrP:Ques,1116
NP:Time,1020
PP:Subj,947
PrNP:PreC,933
NP:Voct,865
AdvP:Cmpl,856
VP:PreS,852
NP:Frnt,814
NP:Adju,679
AdvP:Time,640
DPrP:Subj,621
NegP:NCop,541
PrNP:Cmpl,438
PrNP:Voct,408
AdvP:Loca,406
CP:Objc,403
IPrP:Subj,335
PrNP:Objc,327
CP:Subj,307
PP:Frnt,265
CP:Cmpl,262
InjP:IntS,250
AdvP:PreC,220
IPrP:Objc,212
IPrP:PreC,188
PP:Supp,177
NP:Loca,176
NP:Modi,166
CP:Adju,147
NP:Exst,137
VP:PtcO,137
AdjP:PrAd,121
PrNP:Frnt,105
DPrP:Objc,102
PPrP:Frnt,100
NegP:NCoS,96
NP:PrAd,93
CP:PreC,74
InrP:PreC,65
PP:Modi,51
PrNP:Adju,40
CP:Loca,38
CP:Frnt,37
CP:Time,35
PP:PrAd,33
AdvP:Adju,32
AdvP:Subj,32
AdvP:ModS,31
PrNP:Loca,29
PPrP:PreC,23
DPrP:Frnt,21
PPrP:EPPr,20
PrNP:Time,18
PP:Voct,16
AdjP:Objc,14
AdvP:Objc,14
NP:ExsS,14
PPrP:Objc,14
NP:PreO,11
DPrP:PreC,10
InrP:Cmpl,10
PPrP:Cmpl,10
AdjP:Subj,8
InrP:PrcS,8
IPrP:Frnt,7
PP:PreO,7
AdjP:Cmpl,5
AdvP:Frnt,4
AdjP:Frnt,3
NP:PrcS,3
NP:PreS,3
PP:ModS,3
PPrP:PreO,3
PrNP:PreS,3
CP:Modi,2
CP:PreO,2
PPrP:PreS,2
AdjP:Adju,1
CP:PrAd,1
CP:Voct,1
PP:PrcS,1
PP:PtcO,1
PP:Ques,1
PrNP:PrcS,1
