signature,count
verb|peal|impf|p3|m|pl,24
verb|piel|impf|p1|unknown|pl,24
verb|peal|infc|unknown|unknown|unknown|a,23
adjv|m|sg|e,22
verb|haf|perf|p3|m|pl,22
verb|hit|impf|p2|m|pl,22
verb|hof|perf|p3|f|sg,22
verb|peal|perf|p3|f|sg,22
subs|m|du|c,21
verb|hif|wayq|p2|m|sg,21
verb|hit|perf|p1|unknown|sg,21
verb|piel|perf|p1|unknown|pl,21
verb|piel|wayq|p2|m|sg,20
verb|hif|impf|p2|f|sg,19
subs|f|pl|e,18
verb|hif|perf|p2|f|sg,18
verb|hof|impf|p3|m|pl,18
verb|qal|impv|p2|f|pl,18
adjv|f|pl|c,17
verb|hsht|infc|unknown|unknown|unknown|a,17
verb|htpe|impf|p3|m|sg,17
verb|nif|impf|p1|unknown|pl,17
verb|piel|impv|p2|f|sg,17
verb|hit|wayq|p1|unknown|sg,16
verb|hof|perf|p3|unknown|pl,16
verb|peal|impf|p3|f|sg,16
verb|peal|perf|p2|m|sg,16
verb|piel|perf|p2|f|sg,16
subs|unknown|sg|e,15
verb|hit|impf|p1|unknown|sg,15
verb|peal|impf|p2|m|sg,15
verb|peal|ptcp|unknown|m|sg|a,15
verb|piel|impf|p3|f|pl,15
verb|nif|perf|p2|f|sg,14
verb|nif|wayq|p1|unknown|sg,14
verb|piel|impf|p2|f|sg,14
verb|hif|wayq|p1|unknown|pl,13
verb|hif|wayq|p2|m|pl,13
verb|hit|impf|p3|f|sg,13
verb|hit|ptca|unknown|f|sg|a,13
verb|pael|impf|p3|m|pl,13
verb|peal|impv|p2|m|sg,13
verb|pual|impf|p3|m|pl,13
verb|pual|perf|p1|unknown|sg,13
verb|piel|ptca|unknown|m|sg|c,12
verb|pual|impf|p3|f|sg,12
verb|haf|ptca|unknown|m|sg|a,11
verb|hit|perf|p2|m|sg,11
verb|hof|impf|p3|f|sg,11
verb|hof|ptcp|unknown|f|sg|a,11
verb|hsht|impf|p3|m|pl,11
verb|nif|ptca|unknown|m|pl|c,11
verb|pael|ptca|unknown|m|sg|a,11
verb|peal|impv|p2|m|pl,11
verb|pual|ptcp|unknown|f|pl|a,11
verb|qal|impf|p2|f|pl,11
prde|unknown|sg,10
verb|hif|ptca|unknown|f|pl|a,10
verb|hif|wayq|p2|f|sg,10
verb|hit|impv|p2|f|sg,10
verb|hit|perf|p2|m|pl,10
verb|nif|ptca|unknown|m|sg|c,10
verb|pael|infc|unknown|unknown|unknown|a,10
verb|pael|perf|p3|m|pl,10
verb|peal|impf|p2|m|pl,10
verb|peal|ptca|unknown|f|sg|a,10
verb|haf|impf|p3|m|sg,9
verb|hit|infc|unknown|unknown|unknown|c,9
verb|nif|impf|p2|f|sg,9
verb|pael|impf|p3|m|sg,9
verb|peal|perf|p1|unknown|pl,9
verb|qal|ptcp|unknown|f|sg|c,9
verb|haf|ptca|unknown|m|pl|a,8
verb|hit|impf|p1|unknown|pl,8
verb|hit|impf|p2|f|sg,8
verb|hit|wayq|p3|f|sg,8
verb|pael|perf|p3|m|sg,8
verb|peal|ptca|unknown|f|sg|e,8
verb|peil|perf|p3|f|sg,8
verb|piel|wayq|p2|f|sg,8
verb|haf|impf|p3|m|pl,7
verb|hof|infa|unknown|unknown|unknown|a,7
verb|hof|ptcp|unknown|f|pl|a,7
verb|hsht|impf|p2|m|pl,7
verb|hsht|ptca|unknown|m|pl|a,7
verb|hsht|wayq|p3|f|sg,7
verb|htpa|ptca|unknown|m|pl|a,7
verb|htpa|ptca|unknown|m|sg|a,7
verb|htpe|ptca|unknown|m|sg|a,7
verb|peal|ptcp|unknown|f|sg|a,7
verb|qal|perf|p2|f|pl,7
adjv|f|sg|e,6
subs|f|du|e,6
verb|haf|impf|p3|f|sg,6
verb|hif|impf|p3|f|pl,6
verb|hof|infc|unknown|unknown|unknown|a,6
verb|hof|perf|p1|unknown|sg,6
verb|hsht|perf|p3|unknown|pl,6
verb|htpa|impf|p3|m|sg,6
verb|htpe|perf|p3|f|sg,6
verb|nif|impv|p2|f|sg,6
verb|peal|infc|unknown|unknown|unknown|c,6
verb|peil|perf|p3|m|pl,6
verb|piel|wayq|p2|m|pl,6
verb|piel|wayq|p3|f|pl,6
nmpr|f|sg|c,5
prps|p2|f|pl,5
verb|haf|impf|p2|m|pl,5
verb|haf|impf|p2|m|sg,5
verb|haf|perf|p2|m|sg,5
verb|hif|ptca|unknown|f|sg|c,5
verb|hit|perf|p1|unknown|pl,5
verb|hof|impf|p2|m|sg,5
verb|hof|perf|p2|m|sg,5
verb|hsht|impf|p2|m|sg,5
verb|hsht|perf|p2|m|pl,5
verb|htpe|impf|p3|f|sg,5
verb|nif|wayq|p2|m|sg,5
verb|pasq|ptcp|unknown|m|sg|a,5
verb|peal|ptca|unknown|m|pl|c,5
verb|piel|ptca|unknown|f|sg|c,5
verb|pual|ptcp|unknown|m|pl|c,5
verb|pual|wayq|p3|m|pl,5
verb|qal|ptcp|unknown|f|pl|c,5
verb|shaf|infc|unknown|unknown|unknown|a,5
adjv|f|pl|e,4
verb|haf|ptca|unknown|f|sg|a,4
verb|hit|perf|p3|f|sg,4
verb|hof|wayq|p3|f|sg,4
verb|hotp|perf|p3|unknown|pl,4
verb|hsht|impf|p3|m|sg,4
verb|hsht|perf|p2|m|sg,4
verb|htpe|infc|unknown|unknown|unknown|a,4
verb|htpe|perf|p3|m|sg,4
verb|pael|ptcp|unknown|m|sg|a,4
verb|peal|ptca|unknown|f|pl|a,4
verb|piel|wayq|p1|unknown|pl,4
verb|pual|impf|p2|m|pl,4
verb|pual|perf|p2|m|sg,4
verb|qal|ptca|unknown|f|pl|c,4
verb|shaf|perf|p3|m|sg,4
verb|etpa|perf|p3|m|sg,3
verb|hif|wayq|p3|f|pl,3
verb|hit|impf|p3|f|pl,3
verb|hit|perf|p2|f|sg,3
verb|hof|impf|p2|m|pl,3
verb|hsht|perf|p1|unknown|sg,3
verb|hsht|ptca|unknown|m|sg|a,3
verb|htpa|impf|p3|f|sg,3
verb|nif|ptca|unknown|f|pl|c,3
verb|nif|wayq|p2|m|pl,3
verb|pael|impv|p2|m|pl,3
verb|pael|perf|p1|unknown|sg,3
verb|pael|perf|p2|m|sg,3
verb|pael|ptca|unknown|m|pl|a,3
verb|pael|ptcp|unknown|m|pl|a,3
verb|peal|impf|p1|unknown|pl,3
verb|peal|impf|p1|unknown|sg,3
verb|peal|impf|p3|f|pl,3
verb|peal|ptca|unknown|m|pl|e,3
verb|piel|impf|p2|f|pl,3
verb|pual|perf|p1|unknown|pl,3
verb|pual|perf|p2|f|sg,3
verb|pual|perf|p2|m|pl,3
verb|shaf|impf|p3|m|sg,3
verb|etpa|impf|p3|m|pl,2
verb|etpe|perf|p3|f|sg,2
verb|haf|impf|p1|unknown|pl,2
verb|haf|impv|p2|m|sg,2
verb|haf|perf|p1|unknown|pl,2
verb|haf|perf|p1|unknown|sg,2
verb|haf|perf|p3|f|sg,2
verb|haf|ptcp|unknown|m|sg|a,2
verb|hif|impv|p2|f|pl,2
verb|hif|perf|p2|f|pl,2
verb|hit|ptca|unknown|f|pl|a,2
verb|hof|perf|p3|m|pl,2
verb|hof|ptcp|unknown|f|pl|c,2
verb|hof|ptcp|unknown|m|sg|c,2
verb|hotp|infc|unknown|unknown|unknown|a,2
verb|hotp|perf|p3|f|sg,2
verb|hsht|wayq|p3|f|pl,2
verb|htpa|perf|p3|m|sg,2
verb|htpe|impf|p2|m|pl,2
verb|htpe|impf|p3|m|pl,2
verb|htpe|ptca|unknown|f|sg|a,2
verb|nif|wayq|p3|f|pl,2
verb|nit|perf|p3|m|sg,2
verb|peal|impv|p2|f|sg,2
verb|peal|perf|p2|m|pl,2
verb|peal|perf|p3|f|pl,2
verb|peal|ptcp|unknown|m|pl|a,2
verb|piel|wayq|p2|f|pl,2
verb|pual|ptcp|unknown|f|pl|c,2
verb|pual|ptcp|unknown|f|sg|c,2
verb|shaf|perf|p3|m|pl,2
verb|tif|perf|p1|unknown|sg,2
verb|tif|ptca|unknown|m|sg|a,2
verb|afel|impv|p2|m|pl,1
verb|afel|impv|p2|m|sg,1
verb|afel|infc|unknown|unknown|unknown|c,1
verb|afel|perf|p3|m|sg,1
verb|etpa|impf|p3|m|sg,1
verb|etpa|perf|p3|m|pl,1
verb|etpe|perf|p3|f|pl,1
verb|haf|impf|p1|unknown|sg,1
verb|haf|impv|p2|m|pl,1
verb|haf|infc|unknown|unknown|unknown|c,1
verb|haf|ptca|unknown|f|pl|a,1
verb|haf|ptca|unknown|f|sg|c,1
verb|hit|impv|p2|f|pl,1
verb|hit|infa|unknown|unknown|unknown|a,1
verb|hit|ptca|unknown|f|sg|c,1
verb|hit|ptca|unknown|m|sg|c,1
verb|hit|wayq|p1|unknown|pl,1
verb|hit|wayq|p2|m|sg,1
verb|hit|wayq|p3|f|pl,1
verb|hof|impf|p1|unknown|pl,1
verb|hof|impf|p1|unknown|sg,1
verb|hof|impv|p2|m|pl,1
verb|hof|impv|p2|m|sg,1
verb|hof|perf|p1|unknown|pl,1
verb|hof|perf|p2|f|sg,1
verb|hof|perf|p2|m|pl,1
verb|hof|ptcp|unknown|m|pl|c,1
verb|hof|wayq|p2|f|sg,1
verb|hof|wayq|p3|m|pl,1
verb|hsht|impf|p1|unknown|pl,1
verb|hsht|impf|p1|unknown|sg,1
verb|hsht|impv|p2|m|pl,1
verb|hsht|infc|unknown|unknown|unknown|c,1
verb|hsht|perf|p3|m|sg,1
verb|hsht|wayq|p1|unknown|sg,1
verb|htpa|impf|p3|m|pl,1
verb|htpa|infc|unknown|unknown|unknown|c,1
verb|htpa|perf|p2|m|sg,1
verb|htpa|perf|p3|m|pl,1
verb|htpa|ptca|unknown|f|sg|a,1
verb|htpe|perf|p2|m|pl,1
verb|htpe|perf|p2|m|sg,1
verb|htpe|perf|p3|m|pl,1
verb|htpe|ptca|unknown|m|pl|a,1
verb|htpo|impf|p3|m|pl,1
verb|htpo|perf|p3|unknown|pl,1
verb|htpo|ptca|unknown|m|sg|a,1
verb|nif|impf|p2|f|pl,1
verb|nif|ptca|unknown|f|sg|c,1
verb|nif|wayq|p2|f|sg,1
verb|nit|perf|p3|unknown|pl,1
verb|pael|impf|p1|unknown|pl,1
verb|pael|impf|p1|unknown|sg,1
verb|pael|impf|p2|m|pl,1
verb|pael|impf|p2|m|sg,1
verb|pael|impv|p2|m|sg,1
verb|pael|ptca|unknown|f|sg|a,1
verb|pael|ptcp|unknown|f|pl|e,1
verb|pael|ptcp|unknown|f|sg|a,1
verb|pasq|ptcp|unknown|f|sg|a,1
verb|peal|ptcp|unknown|f|pl|a,1
verb|peil|perf|p2|m|sg,1
verb|piel|impv|p2|f|pl,1
verb|piel|perf|p2|f|pl,1
verb|piel|ptca|unknown|f|pl|c,1
verb|poal|impf|p3|m|pl,1
verb|poal|perf|p1|unknown|sg,1
verb|poal|perf|p3|unknown|pl,1
verb|poel|impf|p3|m|sg,1
verb|poel|perf|p1|unknown|sg,1
verb|poel|perf|p3|m|sg,1
verb|poel|ptca|unknown|m|sg|a,1
verb|pual|impf|p2|f|sg,1
verb|pual|infa|unknown|unknown|unknown|a,1
verb|pual|ptcp|unknown|m|sg|c,1
verb|pual|wayq|p3|m|sg,1
verb|shaf|ptca|unknown|m|sg|a,1
verb|tif|impf|p2|m|sg,1
