signature,count
prep,68955
conj,60104
subs|m|sg|a,33530
art,29594
nmpr|m|sg|a,19811
subs|m|sg|c,19023
subs|m|pl|a,15984
subs|f|sg|a,13859
nmpr|unknown|sg|a,11107
subs|unknown|sg|a,7813
verb|qal|wayq|p3|m|sg,7241
subs|m|pl|c,6945
nega,5565
verb|qal|perf|p3|m|sg,5399
adjv|m|sg|a,4602
subs|f|pl|a,4345
advb,4340
subs|f|sg|c,3936
verb|qal|infc|unknown|unknown|unknown|a,3447
verb|qal|impf|p3|m|sg,3161
subs|unknown|sg|c,3005
verb|qal|perf|p3|unknown|pl,2644
verb|qal|ptca|unknown|m|sg|a,2391
verb|qal|wayq|p3|m|pl,2360
adjv|m|pl|a,2167
intj,1741
verb|qal|perf|p1|unknown|sg,1667
verb|qal|impf|p3|m|pl,1498
verb|qal|ptca|unknown|m|pl|a,1412
prps|p3|m|sg,1359
verb|qal|impv|p2|m|sg,1308
verb|qal|perf|p2|m|sg,1294
verb|qal|impf|p2|m|sg,1239
prde|m|sg,1222
inrg,1207
subs|f|pl|c,1188
subs|f|du|a,1175
prps|p1|unknown|sg,1166
verb|hif|perf|p3|m|sg,1120
adjv|f|sg|a,1101
verb|qal|impf|p1|unknown|sg,1072
verb|qal|impv|p2|m|pl,995
verb|piel|perf|p3|m|sg,971
verb|hif|wayq|p3|m|sg,968
verb|qal|wayq|p3|f|sg,951
prin|unknown|unknown,930
verb|qal|perf|p3|f|sg,920
verb|qal|infc|unknown|unknown|unknown|c,903
nmpr|f|sg|a,769
prde|unknown|pl,768
verb|qal|impf|p2|m|pl,763
verb|qal|impf|p3|f|sg,716
verb|hif|infc|unknown|unknown|unknown|a,695
verb|hif|impf|p3|m|sg,690
prps|p2|m|sg,645
verb|piel|wayq|p3|m|sg,629
prde|f|sg,609
verb|qal|perf|p2|m|pl,606
verb|hif|perf|p1|unknown|sg,560
verb|piel|infc|unknown|unknown|unknown|a,555
prps|p3|m|pl,547
verb|nif|perf|p3|m|sg,544
subs|unknown|du|a,514
verb|qal|infa|unknown|unknown|unknown|a,508
subs|f|du|c,505
verb|nif|impf|p3|m|sg,496
verb|qal|ptca|unknown|m|pl|c,490
prps|p3|f|sg,486
verb|hif|ptca|unknown|m|sg|a,486
verb|hif|wayq|p3|m|pl,484
subs|m|sg|e,469
verb|qal|wayq|p1|unknown|sg,449
verb|qal|impf|p1|unknown|pl,411
verb|piel|impf|p3|m|sg,402
verb|hif|perf|p3|unknown|pl,394
verb|hif|impf|p1|unknown|sg,380
verb|piel|perf|p1|unknown|sg,374
verb|nif|perf|p3|unknown|pl,361
verb|qal|ptcp|unknown|m|sg|a,357
verb|nif|ptca|unknown|m|sg|a,333
verb|qal|ptca|unknown|f|sg|a,328
verb|piel|ptca|unknown|m|sg|a,311
verb|hif|impv|p2|m|sg,287
verb|piel|perf|p3|unknown|pl,283
prps|p2|m|pl,282
verb|hif|impf|p2|m|sg,277
adjv|f|pl|a,267
verb|piel|impf|p1|unknown|sg,258
subs|unknown|du|c,255
verb|qal|perf|p1|unknown|pl,250
verb|qal|ptcp|unknown|m|pl|a,247
verb|hif|perf|p2|m|sg,240
verb|hif|impf|p3|m|pl,238
verb|piel|ptca|unknown|m|pl|a,236
adjv|m|sg|c,233
verb|nif|wayq|p3|m|sg,225
verb|hif|impv|p2|m|pl,224
verb|hif|infa|unknown|unknown|unknown|a,224
adjv|m|pl|c,221
verb|qal|impv|p2|f|sg,216
verb|nif|ptca|unknown|m|pl|a,215
verb|qal|ptca|unknown|m|sg|c,213
verb|piel|perf|p2|m|sg,198
subs|m|du|a,190
verb|hif|infc|unknown|unknown|unknown|c,189
verb|piel|impf|p2|m|sg,185
verb|nif|perf|p3|f|sg,179
verb|piel|impf|p3|m|pl,175
verb|piel|impv|p2|m|sg,175
verb|piel|wayq|p3|m|pl,174
verb|nif|impf|p3|m|pl,171
verb|nif|infc|unknown|unknown|unknown|a,165
verb|qal|perf|p2|f|sg,165
verb|hif|ptca|unknown|m|pl|a,163
verb|hif|impf|p2|m|pl,159
subs|m|pl|e,158
verb|qal|ptcp|unknown|f|sg|a,158
verb|qal|impf|p3|f|pl,152
verb|nif|impf|p3|f|sg,139
verb|nif|wayq|p3|m|pl,137
verb|piel|infc|unknown|unknown|unknown|c,129
subs|f|sg|e,127
verb|qal|ptca|unknown|f|pl|a,122
prps|p1|unknown|pl,121
verb|qal|impf|p2|f|sg,116
verb|peal|perf|p3|m|sg,111
verb|peal|ptca|unknown|m|sg|a,107
verb|hof|impf|p3|m|sg,106
verb|nif|perf|p1|unknown|sg,105
verb|piel|infa|unknown|unknown|unknown|a,105
verb|hif|perf|p2|m|pl,103
verb|piel|impv|p2|m|pl,94
verb|pual|perf|p3|m|sg,93
verb|hit|impf|p3|m|sg,89
verb|hif|impf|p3|f|sg,88
verb|hit|infc|unknown|unknown|unknown|a,86
verb|nif|ptca|unknown|f|sg|a,85
verb|qal|wayq|p2|m|sg,82
verb|hit|ptca|unknown|m|sg|a,80
verb|hit|wayq|p3|m|sg,80
verb|qal|wayq|p3|f|pl,80
verb|hif|wayq|p1|unknown|sg,79
verb|hif|wayq|p3|f|sg,77
verb|piel|impf|p3|f|sg,75
verb|nif|impv|p2|m|sg,74
verb|piel|perf|p3|f|sg,70
verb|hif|perf|p3|f|sg,68
verb|peal|ptca|unknown|m|pl|a,67
verb|pual|ptcp|unknown|m|sg|a,67
verb|peal|impf|p3|m|sg,66
verb|nif|impf|p2|m|sg,65
verb|hof|perf|p3|m|sg,64
verb|piel|impf|p2|m|pl,61
verb|hof|ptcp|unknown|m|sg|a,60
verb|nif|ptca|unknown|f|pl|a,60
verb|qal|wayq|p1|unknown|pl,60
verb|hit|perf|p3|unknown|pl,59
verb|piel|perf|p2|m|pl,59
adjv|f|sg|c,58
prps|p2|f|sg,57
verb|piel|wayq|p3|f|sg,57
verb|qal|wayq|p2|m|pl,56
verb|hit|impf|p3|m|pl,55
verb|qal|ptcp|unknown|m|pl|c,54
verb|hit|wayq|p3|m|pl,51
verb|nif|impf|p1|unknown|sg,51
prps|p3|f|pl,48
verb|hif|impf|p1|unknown|pl,48
verb|nif|perf|p2|m|sg,48
verb|nif|wayq|p3|f|sg,48
verb|pual|perf|p3|unknown|pl,48
verb|pual|ptcp|unknown|m|pl|a,47
verb|qal|wayq|p2|f|sg,47
verb|qal|ptca|unknown|f|sg|c,45
verb|nif|impf|p2|m|pl,44
verb|hif|impv|p2|f|sg,43
verb|pual|impf|p3|m|sg,42
verb|hsht|wayq|p3|m|sg,41
verb|qal|ptcp|unknown|f|pl|a,41
verb|peal|perf|p3|m|pl,39
verb|hit|impf|p2|m|sg,37
verb|nif|perf|p2|m|pl,37
nmpr|m|pl|a,36
verb|hif|ptca|unknown|m|sg|c,36
verb|hit|impv|p2|m|pl,36
verb|hit|ptca|unknown|m|pl|a,36
verb|nif|infc|unknown|unknown|unknown|c,34
verb|haf|infc|unknown|unknown|unknown|a,33
verb|nif|impf|p3|f|pl,33
verb|nif|impv|p2|m|pl,33
verb|piel|ptca|unknown|m|pl|c,32
verb|pual|perf|p3|f|sg,32
verb|haf|perf|p3|m|sg,31
verb|piel|wayq|p1|unknown|sg,31
verb|hif|ptca|unknown|m|pl|c,30
verb|nif|infa|unknown|unknown|unknown|a,30
verb|pual|ptcp|unknown|f|sg|a,30
verb|peal|perf|p1|unknown|sg,29
adjv|m|pl|e,28
nmpr|unknown|sg|c,28
verb|hit|perf|p3|m|sg,28
verb|hit|impv|p2|m|sg,27
verb|hof|wayq|p3|m|sg,27
verb|hsht|wayq|p3|m|pl,27
verb|hif|ptca|unknown|f|sg|a,26
verb|piel|ptca|unknown|f|pl|a,26
verb|piel|ptca|unknown|f|sg|a,26
verb|hif|perf|p1|unknown|pl,25
verb|nif|perf|p1|unknown|pl,25
verb|peil|perf|p3|m|sg,25
verb|qal|ptcp|unknown|m|sg|c,25
verb|hof|ptcp|unknown|m|pl|a,24
