signature,count
Way0:NA,8550
NmCl:NA,7820
WayX:NA,5798
InfC:Adju,5081
WQt0:NA,4692
xYq0:NA,3662
ZIm0:NA,2346
Ptcp:NA,2279
Ellp:NA,2228
xQt0:NA,2208
WxY0:NA,2094
xQtX:NA,1575
Ptcp:Attr,1503
xQt0:Attr,1475
WXQt:NA,1268
WxQ0:NA,1264
WQtX:NA,1247
WXYq:NA,1224
CPen:NA,1174
XYqt:NA,1134
Voct:NA,1117
xYqX:NA,1114
XQtl:NA,1087
NmCl:Attr,1084
WYq0:NA,968
MSyn:NA,892
ZQt0:NA,884
AjCl:NA,856
WIm0:NA,774
ZYq0:NA,723
NmCl:Coor,629
ZQtX:NA,587
xQtX:Attr,545
xYq0:Attr,535
WxQX:NA,453
InfC:Coor,438
WxYX:NA,395
ZYqX:NA,347
Ptcp:Coor,342
NmCl:Resu,331
xQt0:Adju,282
WQt0:Coor,270
Ptcp:Subj,258
NmCl:Objc,255
Ellp:Adju,241
xQtX:Adju,235
xYq0:Resu,207
InfA:NA,199
Ptcp:RgRc,193
xIm0:NA,191
InfC:Cmpl,187
WYqX:NA,185
WxQ0:Coor,184
Way0:Coor,176
WxY0:Coor,174
xQt0:Objc,165
xQtX:Objc,154
AjCl:Objc,142
InfC:Objc,141
InfC:RgRc,138
AjCl:Attr,131
xYq0:Adju,127
xQt0:RgRc,124
xYq0:Objc,122
Ptcp:Objc,121
NmCl:RgRc,111
xYqX:Attr,109
XYqt:Resu,104
InfC:NA,103
Ptcp:Resu,100
AjCl:Coor,85
Ellp:Coor,83
NmCl:Adju,83
xQtX:RgRc,82
xYq0:RgRc,79
ZIm0:ReVo,78
xQt0:Resu,73
WxI0:NA,69
xYqX:Adju,65
WQt0:Resu,64
InfC:Subj,63
Ptcp:Adju,56
WXQt:Coor,56
ZYq0:Attr,56
WXYq:Coor,55
Ptcp:PrAd,54
xYqX:Objc,51
Ptcp:PreC,49
xYq0:Coor,47
WXIm:NA,46
XQtl:Objc,45
ZQt0:Attr,45
InfA:Coor,44
WQtX:Coor,44
InfC:Spec,41
AjCl:Resu,40
NmCl:Subj,39
XQtl:Resu,39
xYqX:Resu,39
InfC:PreC,38
xYqX:RgRc,37
ZImX:NA,35
xQtX:Resu,35
WYq0:Coor,32
WayX:Coor,32
ZYq0:Coor,32
xYq0:Subj,30
ZYq0:Resu,29
Way0:Resu,28
xQt0:Coor,28
InfA:Adju,27
WQtX:Resu,26
NmCl:ReVo,24
Voct:Coor,24
ZYqX:Resu,24
WxQX:Coor,23
Ptcp:Cmpl,22
XQtl:Attr,22
ZQt0:Coor,22
xYq0:ReVo,21
XPos:NA,20
xQt0:Cmpl,20
xQtX:Subj,20
CPen:Objc,19
ZQt0:Resu,19
WayX:Resu,18
ZQtX:Resu,18
WxYX:Coor,17
xQt0:Subj,17
xQt0:ReVo,16
NmCl:PreC,15
xYq0:Cmpl,15
CPen:Coor,14
XYqt:Objc,14
ZIm0:Coor,14
AjCl:RgRc,13
NmCl:Spec,13
xQt0:PreC,13
xQtX:Coor,13
InfA:Objc,12
NmCl:Cmpl,12
WIm0:Coor,12
WYqX:Coor,12
XQtl:Coor,12
xIm0:ReVo,12
xYqX:Coor,12
Ptcp:ReVo,11
XImp:NA,11
XQtl:ReVo,11
xQtX:PreC,11
InfC:Attr,10
ZQt0:RgRc,10
ZQtX:Attr,10
ZQtX:Coor,10
AjCl:Adju,9
xYq0:PreC,9
AjCl:Subj,8
WYq0:Resu,8
XYqt:Attr,8
ZQtX:RgRc,8
CPen:Resu,7
WxY0:Resu,7
ZYqX:ReVo,7
AjCl:PrAd,6
ZQt0:ReVo,6
ZYq0:Objc,6
xYqX:ReVo,6
CPen:Attr,5
InfA:Subj,5
Ptcp:Spec,5
Reop:NA,5
XYqt:Coor,5
XYqt:ReVo,5
ZYq0:Subj,5
ZYqX:Attr,5
xQtX:Cmpl,5
xQtX:ReVo,5
xYqX:PreC,5
XQtl:PreC,4
ZQt0:Objc,4
ZQtX:ReVo,4
xYqX:Subj,4
AjCl:Cmpl,3
CPen:ReVo,3
InfA:Cmpl,3
Reop:Objc,3
WImX:NA,3
WXYq:Resu,3
XQtl:Subj,3
XYqt:Adju,3
ZIm0:Resu,3
ZYq0:RgRc,3
ZYqX:Coor,3
xYqX:Cmpl,3
InfA:RgRc,2
NmCl:PrAd,2
WxI0:Coor,2
WxQ0:Resu,2
XQtl:Adju,2
XYqt:PreC,2
XYqt:RgRc,2
ZQt0:Adju,2
ZYq0:Cmpl,2
ZYq0:ReVo,2
ZYqX:PreC,2
xIm0:Coor,2
xIm0:Resu,2
xImX:NA,2
xQt0:Spec,2
AjCl:PreC,1
AjCl:ReVo,1
CPen:PreC,1
Ellp:ReVo,1
InfA:PreC,1
WXIm:Coor,1
WXQt:Resu,1
WYqX:Resu,1
WxY0:ReVo,1
WxYX:Resu,1
XImp:Resu,1
XQtl:Cmpl,1
XQtl:RgRc,1
XQtl:Spec,1
XYqt:Spec,1
XYqt:Subj,1
ZQt0:Cmpl,1
ZQt0:Subj,1
ZQtX:Spec,1
ZYq0:Adju,1
ZYqX:Objc,1
ZYqX:RgRc,1
xIm0:Adju,1
xYq0:Spec,1
xYqX:Spec,1
