signature,count
NmCl,10418
Way0,8754
InfC,6240
WayX,5848
WQt0,5026
Ptcp,4993
xYq0,4855
xQt0,4423
xQtX,2680
Ellp,2553
ZIm0,2441
WxY0,2276
WxQ0,1450
xYqX,1446
WXQt,1325
WQtX,1317
AjCl,1295
WXYq,1282
XYqt,1279
XQtl,1228
CPen,1223
Voct,1141
WYq0,1008
ZQt0,994
MSyn,892
ZYq0,859
WIm0,786
ZQtX,638
WxQX,476
WxYX,413
ZYqX,390
InfA,293
xIm0,208
WYqX,198
WxI0,71
WXIm,47
ZImX,35
XPos,20
XImp,12
Reop,8
WImX,3
xImX,2
