signature,count
NmCl,10418
Way0,8782
InfC,6240
WayX,5820
WQt0,5047
Ptcp,4993
xYq0,4813
xQt0,4380
xQtX,2635
Ellp,2553
ZIm0,2511
Defc,2396
WxY0,2166
xYqX,1388
WxQ0,1379
ZYq0,1353
WQtX,1296
AjCl,1295
ZQt0,1263
WXQt,1262
CPen,1223
XQtl,1172
Voct,1141
WXYq,1138
XYqt,1121
WYq0,1012
MSyn,892
WIm0,781
ZQtX,707
ZYqX,437
WxQX,416
WxYX,384
InfA,293
WYqX,194
xIm0,177
WxI0,58
WXIm,31
ZImX,31
XPos,20
XImp,11
Reop,8
WImX,3
xImX,2
